model,lr,hidden_size(or not use),batch_size,pooling_style,acc
fast_text,0.001,128,64,avg,0.8815679733110926
fast_text,0.001,128,128,avg,0.8657214345287739
fast_text,0.0001,128,64,avg,0.6651376146788991
fast_text,0.0001,128,128,avg,0.664720600500417
lstm,0.001,128,64,avg,0.8928273561301084
lstm,0.001,128,128,avg,0.8869891576313594
lstm,0.0001,128,64,avg,0.8261050875729775
lstm,0.0001,128,128,avg,0.8703085904920768
bert,0.001,128,64,avg,0.859466221851543
bert,0.001,128,128,avg,0.853628023352794
bert,0.0001,128,64,avg,0.8661384487072561
bert,0.0001,128,128,avg,0.8686405337781484
