model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,class_num,vocab_size,acc
gated_cnn,30,64,3,8,15,64,avg,adam,0.001,2,4622,0.8188728216536892
gated_cnn,30,64,3,6,15,64,avg,adam,0.001,2,4622,0.8121060437523174
gated_cnn,30,64,3,6,15,64,max,adam,0.001,2,4622,0.8474230626622172
gated_cnn,30,64,3,6,15,128,avg,adam,0.001,2,4622,0.818038561364479
gated_cnn,30,64,3,6,15,128,max,adam,0.001,2,4622,0.8404708935854653
gated_cnn,30,128,3,6,15,64,avg,adam,0.001,2,4622,0.8198924731182796
gated_cnn,30,128,3,6,15,64,max,adam,0.001,2,4622,0.8453837597330367
gated_cnn,30,128,3,6,15,128,avg,adam,0.001,2,4622,0.824898034853541
gated_cnn,30,128,3,6,15,128,max,adam,0.001,2,4622,0.8563218390804598
gated_cnn,30,256,3,6,15,64,avg,adam,0.001,2,4622,0.8215609936967
gated_cnn,30,256,3,6,15,64,max,adam,0.001,2,4622,0.8540971449758992
gated_cnn,30,256,3,6,15,128,avg,adam,0.001,2,4622,0.8238783833889507
gated_cnn,30,256,3,6,15,128,max,adam,0.001,2,4622,0.8555802743789396
gated_cnn,30,512,3,6,15,64,avg,adam,0.001,2,4622,0.8187801260659993
gated_cnn,30,512,3,6,15,64,max,adam,0.001,2,4622,0.8578976640711902
gated_cnn,30,512,3,6,15,128,avg,adam,0.001,2,4622,0.8225806451612904
gated_cnn,30,512,3,6,15,128,max,adam,0.001,2,4622,0.8561364479050797
gated_cnn,30,64,3,6,15,64,avg,adam,0.0001,2,4622,0.7328513162773452
gated_cnn,30,64,3,6,15,64,max,adam,0.0001,2,4622,0.7896737115313311
gated_cnn,30,64,3,6,15,128,avg,adam,0.0001,2,4622,0.6865962180200222
gated_cnn,30,64,3,6,15,128,max,adam,0.0001,2,4622,0.7520393029291805
gated_cnn,30,128,3,6,15,64,avg,adam,0.0001,2,4622,0.8058954393770856
gated_cnn,30,128,3,6,15,64,max,adam,0.0001,2,4622,0.8324990730441231
gated_cnn,30,128,3,6,15,128,avg,adam,0.0001,2,4622,0.7693733778272154
gated_cnn,30,128,3,6,15,128,max,adam,0.0001,2,4622,0.8096032628846866
gated_cnn,30,256,3,6,15,64,avg,adam,0.0001,2,4622,0.8277715980719318
gated_cnn,30,256,3,6,15,64,max,adam,0.0001,2,4622,0.8584538375973304
gated_cnn,30,256,3,6,15,128,avg,adam,0.0001,2,4622,0.8152576937337783
gated_cnn,30,256,3,6,15,128,max,adam,0.0001,2,4622,0.8482573229514275
gated_cnn,30,512,3,6,15,64,avg,adam,0.0001,2,4622,0.842973674453096
gated_cnn,30,512,3,6,15,64,max,adam,0.0001,2,4622,0.8595661846496107
gated_cnn,30,512,3,6,15,128,avg,adam,0.0001,2,4622,0.8361142009640341
gated_cnn,30,512,3,6,15,128,max,adam,0.0001,2,4622,0.8592880978865406
gated_cnn,30,64,3,6,15,64,avg,adam,1e-05,2,4622,0.6672228401928069
gated_cnn,30,64,3,6,15,64,max,adam,1e-05,2,4622,0.6399703374119392
gated_cnn,30,64,3,6,15,128,avg,adam,1e-05,2,4622,0.6609195402298851
gated_cnn,30,64,3,6,15,128,max,adam,1e-05,2,4622,0.6732480533926585
gated_cnn,30,128,3,6,15,64,avg,adam,1e-05,2,4622,0.6802002224694105
gated_cnn,30,128,3,6,15,64,max,adam,1e-05,2,4622,0.7182981090100111
gated_cnn,30,128,3,6,15,128,avg,adam,1e-05,2,4622,0.7235817575083426
