acc,model,lr,hidden_size,batch_size,pooling_style
0.7406944010009384,'fast_text',"0.0001,","128,","128,",'max'
0.7660306537378793,'fast_text',"0.0001,","128,","64,",'max'
0.7666562402252112,'fast_text',"0.0001,","128,","128,",'avg'
0.7794807632155145,'fast_text',"0.0001,","256,","128,",'max'
0.7869878010634971,'fast_text',"0.0001,","256,","64,",'max'
0.7957460118861432,'fast_text',"0.0001,","256,","128,",'avg'
0.8076321551454488,'fast_text',"0.0001,","128,","64,",'avg'
0.812011260556772,'bert',"0.001,","256,","64,",'max'
0.8235846105724116,'fast_text',"0.0001,","256,","64,",'avg'
0.8248357835470754,'cnn',"0.0001,","128,","128,",'avg'
0.8295276822020644,'cnn',"0.001,","256,","128,",'max'
0.8342195808570535,'bert',"0.001,","256,","64,",'avg'
0.8354707538317172,'rcnn',"0.0001,","128,","128,",'avg'
0.8382858930247107,'rnn',"0.001,","128,","128,",'max'
0.8389114795120426,'bert',"0.001,","128,","64,",'avg'
0.841101032217704,'stack_gated_cnn',"0.001,","128,","64,",'avg'
0.841101032217704,'bert_lstm',"0.001,","128,","64,",'max'
0.841726618705036,'rnn',"0.001,","256,","64,",'avg'
0.8423522051923679,'bert',"0.001,","128,","64,",'max'
0.8429777916796998,'rnn',"0.001,","128,","64,",'avg'
0.8439161714106975,'bert',"0.001,","256,","128,",'max'
0.8439161714106975,'rcnn',"0.001,","256,","64,",'avg'
0.8448545511416954,'bert',"0.0001,","128,","64,",'avg'
0.8448545511416954,'rnn',"0.001,","128,","64,",'max'
0.8448545511416954,'lstm',"0.001,","128,","64,",'avg'
0.8454801376290272,'cnn',"0.0001,","128,","64,",'avg'
0.8454801376290272,'bert_lstm',"0.001,","128,","64,",'avg'
0.8461057241163591,'cnn',"0.0001,","256,","128,",'avg'
0.846731310603691,'gated_cnn',"0.0001,","128,","128,",'avg'
0.8470441038473568,'rnn',"0.001,","256,","128,",'max'
0.8470441038473568,'gru',"0.001,","128,","128,",'max'
