model_type,learning_rate,hidden_size,batch_size,pooling_style,acc,time
cnn,0.001,128,64,avg,0.8807339449541285,8.984380006790161
cnn,0.001,128,64,max,0.8890742285237698,17.454655170440674
cnn,0.001,128,128,avg,0.8790658882402002,26.38489556312561
cnn,0.001,128,128,max,0.8911592994161801,35.00407433509827
cnn,0.001,256,64,avg,0.871976647206005,58.02238869667053
cnn,0.001,256,64,max,0.8811509591326105,82.11077499389648
cnn,0.001,256,128,avg,0.8761467889908257,100.18893575668335
cnn,0.001,256,128,max,0.8999165971643036,118.73986840248108
cnn,0.0001,128,64,avg,0.8236030025020851,127.91928386688232
cnn,0.0001,128,64,max,0.8636363636363636,137.3125147819519
cnn,0.0001,128,128,avg,0.8031693077564637,145.35606694221497
cnn,0.0001,128,128,max,0.8373644703919934,153.44438338279724
cnn,0.0001,256,64,avg,0.8628023352793995,176.08359599113464
cnn,0.0001,256,64,max,0.8824020016680567,198.7729470729828
cnn,0.0001,256,128,avg,0.8419516263552961,217.50974917411804
cnn,0.0001,256,128,max,0.8773978315262719,235.58369946479797
rnn,0.001,128,64,avg,0.8661384487072561,19.44469690322876
rnn,0.001,128,64,max,0.8894912427022519,38.929821491241455
rnn,0.001,128,128,avg,0.8632193494578816,54.48922157287598
rnn,0.001,128,128,max,0.8794829024186822,70.1388041973114
rnn,0.001,256,64,avg,0.8894912427022519,110.77031111717224
rnn,0.001,256,64,max,0.8853211009174312,151.62234354019165
rnn,0.001,256,128,avg,0.8798999165971643,185.60397124290466
rnn,0.001,256,128,max,0.8932443703085905,219.82105088233948
rnn,0.0001,128,64,avg,0.8502919099249374,239.8363115787506
rnn,0.0001,128,64,max,0.853628023352794,260.11631178855896
rnn,0.0001,128,128,avg,0.8432026688907422,275.7720172405243
rnn,0.0001,128,128,max,0.8319432860717264,291.4208161830902
rnn,0.0001,256,64,avg,0.8623853211009175,332.54262828826904
rnn,0.0001,256,64,max,0.8765638031693077,373.28097200393677
rnn,0.0001,256,128,avg,0.8653044203502919,407.35930371284485
rnn,0.0001,256,128,max,0.8748957464553795,441.3973844051361
bert,0.001,768,64,avg,0.8707256046705588,467.89313077926636
bert,0.001,768,64,max,0.8623853211009175,936.1658260822296
bert,0.001,768,128,avg,0.8882402001668057,1325.0468757152557
bert,0.001,768,128,max,0.8786488740617181,1715.1924595832825
bert,0.0001,768,64,avg,0.8919933277731443,2180.3758459091187
bert,0.0001,768,64,max,0.8990825688073395,2648.0115525722504
