模型,学习率,hidden_size,batch_size,pooling_style,准确率
gated_cnn,0.001,128,64,avg,0.6571285559355969
gated_cnn,0.001,128,64,max,0.6663051639275882
gated_cnn,0.001,128,128,avg,0.6571285559355969
gated_cnn,0.001,128,128,max,0.6663051639275882
gated_cnn,0.0001,128,64,avg,0.6571285559355969
gated_cnn,0.0001,128,64,max,0.6663051639275882
gated_cnn,0.0001,128,128,avg,0.6663051639275882
gated_cnn,0.0001,128,128,max,0.6663051639275882
cnn,0.001,128,64,avg,0.6571285559355969
cnn,0.001,128,64,max,0.6663051639275882
cnn,0.001,128,128,avg,0.6638024526570452
cnn,0.001,128,128,max,0.6663051639275882
cnn,0.0001,128,64,avg,0.6663051639275882
cnn,0.0001,128,64,max,0.6663051639275882
cnn,0.0001,128,128,avg,0.6663051639275882
cnn,0.0001,128,128,max,0.6663051639275882
lstm,0.001,128,64,avg,0.6663051639275882
lstm,0.001,128,64,max,0.6663051639275882
lstm,0.001,128,128,avg,0.6663051639275882
lstm,0.001,128,128,max,0.6663051639275882
lstm,0.0001,128,64,avg,0.6663051639275882
lstm,0.0001,128,64,max,0.6663051639275882
lstm,0.0001,128,128,avg,0.6663051639275882
lstm,0.0001,128,128,max,0.6663051639275882
gru,0.001,128,64,avg,0.6505380829231667
gru,0.001,128,64,max,0.6663051639275882
gru,0.001,128,128,avg,0.6663051639275882
gru,0.001,128,128,max,0.6663051639275882
gru,0.0001,128,64,avg,0.6663051639275882
gru,0.0001,128,64,max,0.6663051639275882
gru,0.0001,128,128,avg,0.6663051639275882
gru,0.0001,128,128,max,0.6663051639275882
