acc	model	lr	hidden_size	batch_size	pooling_style	eval_time
0.8790658882402002	lstm	0.001	64	128	max	0.15727710723876953
0.8336113427856547	lstm	0.001	64	128	avg	0.15578889846801758
0.8849040867389492	lstm	0.001	64	256	max	0.14502406120300293
0.8807339449541285	lstm	0.001	64	256	avg	0.15013527870178223
0.8844870725604671	lstm	0.001	128	128	max	0.29868292808532715
0.8819849874895747	lstm	0.001	128	128	avg	0.296109676361084
0.8811509591326105	lstm	0.001	128	256	max	0.2875657081604004
0.8836530442035029	lstm	0.001	128	256	avg	0.28522396087646484
0.8644703919933278	lstm	0.0001	64	128	max	0.1546022891998291
0.8015012510425354	lstm	0.0001	64	128	avg	0.1496438980102539
0.8331943286071727	lstm	0.0001	64	256	max	0.15350914001464844
0.7643869891576314	lstm	0.0001	64	256	avg	0.15020465850830078
0.8886572143452878	lstm	0.0001	128	128	max	0.29384732246398926
0.7781484570475397	lstm	0.0001	128	128	avg	0.3125171661376953
0.8819849874895747	lstm	0.0001	128	256	max	0.2799222469329834
0.8223519599666389	lstm	0.0001	128	256	avg	0.2891724109649658
0.8882402001668057	gru	0.001	64	128	max	0.1634082794189453
0.8832360300250208	gru	0.001	64	128	avg	0.15869879722595215
0.8911592994161801	gru	0.001	64	256	max	0.14914274215698242
0.8911592994161801	gru	0.001	64	256	avg	0.15200257301330566
0.8844870725604671	gru	0.001	128	128	max	0.22003436088562012
0.8761467889908257	gru	0.001	128	128	avg	0.2245497703552246
0.8849040867389492	gru	0.001	128	256	max	0.21458816528320312
0.8919933277731443	gru	0.001	128	256	avg	0.2145705223083496
0.8653044203502919	gru	0.0001	64	128	max	0.16757559776306152
0.835696413678065	gru	0.0001	64	128	avg	0.18201065063476562
0.8473728106755629	gru	0.0001	64	256	max	0.16062593460083008
0.6559633027522935	gru	0.0001	64	256	avg	0.16039180755615234
0.8894912427022519	gru	0.0001	128	128	max	0.23080706596374512
0.8669724770642202	gru	0.0001	128	128	avg	0.22815299034118652
0.8794829024186822	gru	0.0001	128	256	max	0.22777080535888672
0.8390325271059216	gru	0.0001	128	256	avg	0.21232008934020996
0.8894912427022519	cnn	0.001	64	128	max	0.12579584121704102
0.8874061718098415	cnn	0.001	64	128	avg	0.1319260597229004
0.8886572143452878	cnn	0.001	64	256	max	0.12241721153259277
0.8628023352793995	cnn	0.001	64	256	avg	0.12711048126220703
0.8874061718098415	cnn	0.001	128	128	max	0.13575029373168945
0.8853211009174312	cnn	0.001	128	128	avg	0.14370346069335938
0.8890742285237698	cnn	0.001	128	256	max	0.13870668411254883
0.8824020016680567	cnn	0.001	128	256	avg	0.13721537590026855
0.859883236030025	cnn	0.0001	64	128	max	0.13883328437805176
0.7080900750625522	cnn	0.0001	64	128	avg	0.12508463859558105
0.8386155129274395	cnn	0.0001	64	256	max	0.12042856216430664
0.6618015012510425	cnn	0.0001	64	256	avg	0.1293318271636963
0.8894912427022519	cnn	0.0001	128	128	max	0.14204883575439453
0.8211009174311926	cnn	0.0001	128	128	avg	0.15224289894104004
0.8765638031693077	cnn	0.0001	128	256	max	0.13742613792419434
0.7510425354462051	cnn	0.0001	128	256	avg	0.14496660232543945
0.8865721434528774	gated_cnn	0.001	64	128	max	0.1363368034362793
0.8911592994161801	gated_cnn	0.001	64	128	avg	0.13217639923095703
0.8919933277731443	gated_cnn	0.001	64	256	max	0.13427233695983887
0.8815679733110926	gated_cnn	0.001	64	256	avg	0.1303706169128418
0.8853211009174312	gated_cnn	0.001	128	128	max	0.1541140079498291
0.8894912427022519	gated_cnn	0.001	128	128	avg	0.15897011756896973
0.8932443703085905	gated_cnn	0.001	128	256	max	0.15747952461242676
0.8919933277731443	gated_cnn	0.001	128	256	avg	0.1500098705291748
0.8698915763135947	gated_cnn	0.0001	64	128	max	0.13439273834228516
0.713094245204337	gated_cnn	0.0001	64	128	avg	0.13664865493774414
0.8465387823185988	gated_cnn	0.0001	64	256	max	0.13324785232543945
0.6626355296080066	gated_cnn	0.0001	64	256	avg	0.1305840015411377
0.8828190158465388	gated_cnn	0.0001	128	128	max	0.15748834609985352
0.8140116763969975	gated_cnn	0.0001	128	128	avg	0.15688037872314453
0.8740617180984154	gated_cnn	0.0001	128	256	max	0.15962910652160645
0.7231025854879066	gated_cnn	0.0001	128	256	avg	0.15950965881347656
0.9007506255212677	bert	1e-05	64	16	max	31.423527240753174
0.9032527105921602	bert	1e-05	64	16	avg	31.566007375717163
