"model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,class_num,vocab_size,acc"
"gated_cnn,30,128,3,2,15,64,avg,adam,0.001,2,4622,0.877397832"
"gated_cnn,30,128,3,2,15,64,max,adam,0.001,2,4622,0.891993328"
"gated_cnn,30,128,3,2,15,128,avg,adam,0.001,2,4622,0.880316931"
"gated_cnn,30,128,3,2,15,128,max,adam,0.001,2,4622,0.897414512"
"gated_cnn,30,256,3,2,15,64,avg,adam,0.001,2,4622,0.871142619"
"gated_cnn,30,256,3,2,15,64,max,adam,0.001,2,4622,0.896580484"
"gated_cnn,30,256,3,2,15,128,avg,adam,0.001,2,4622,0.880733945"
"gated_cnn,30,256,3,2,15,128,max,adam,0.001,2,4622,0.891993328"
"gated_cnn,30,128,3,2,15,64,avg,adam,0.0001,2,4622,0.881984987"
"gated_cnn,30,128,3,2,15,64,max,adam,0.0001,2,4622,0.899916597"
"gated_cnn,30,128,3,2,15,128,avg,adam,0.0001,2,4622,0.872810676"
"gated_cnn,30,128,3,2,15,128,max,adam,0.0001,2,4622,0.895746455"
"gated_cnn,30,256,3,2,15,64,avg,adam,0.0001,2,4622,0.8882402"
"gated_cnn,30,256,3,2,15,64,max,adam,0.0001,2,4622,0.904503753"
"gated_cnn,30,256,3,2,15,128,avg,adam,0.0001,2,4622,0.89324437"
"gated_cnn,30,256,3,2,15,128,max,adam,0.0001,2,4622,0.901584654"
"fast_text,30,128,3,2,15,64,avg,adam,0.001,2,4622,0.890325271"
"fast_text,30,128,3,2,15,64,max,adam,0.001,2,4622,0.876563803"
"fast_text,30,128,3,2,15,128,avg,adam,0.001,2,4622,0.888657214"
"fast_text,30,128,3,2,15,128,max,adam,0.001,2,4622,0.876980817"
"fast_text,30,256,3,2,15,64,avg,adam,0.001,2,4622,0.891576314"
"fast_text,30,256,3,2,15,64,max,adam,0.001,2,4622,0.882819016"
"fast_text,30,256,3,2,15,128,avg,adam,0.001,2,4622,0.89324437"
"fast_text,30,256,3,2,15,128,max,adam,0.001,2,4622,0.882819016"
"fast_text,30,128,3,2,15,64,avg,adam,0.0001,2,4622,0.833611343"
"fast_text,30,128,3,2,15,64,max,adam,0.0001,2,4622,0.800667223"
"fast_text,30,128,3,2,15,128,avg,adam,0.0001,2,4622,0.806505421"
"fast_text,30,128,3,2,15,128,max,adam,0.0001,2,4622,0.776897415"
"fast_text,30,256,3,2,15,64,avg,adam,0.0001,2,4622,0.852376981"
"fast_text,30,256,3,2,15,64,max,adam,0.0001,2,4622,0.829441201"
"fast_text,30,256,3,2,15,128,avg,adam,0.0001,2,4622,0.836530442"
"fast_text,30,256,3,2,15,128,max,adam,0.0001,2,4622,0.817764804"
"rnn,30,128,3,2,15,64,avg,adam,0.001,2,4622,0.860717264"
"rnn,30,128,3,2,15,64,max,adam,0.001,2,4622,0.877397832"
"rnn,30,128,3,2,15,128,avg,adam,0.001,2,4622,0.87322769"
"rnn,30,128,3,2,15,128,max,adam,0.001,2,4622,0.884904087"
"rnn,30,256,3,2,15,64,avg,adam,0.001,2,4622,0.869057548"
"rnn,30,256,3,2,15,64,max,adam,0.001,2,4622,0.88323603"
"rnn,30,256,3,2,15,128,avg,adam,0.001,2,4622,0.872810676"
"rnn,30,256,3,2,15,128,max,adam,0.001,2,4622,0.888657214"
"rnn,30,128,3,2,15,64,avg,adam,0.0001,2,4622,0.880316931"
"rnn,30,128,3,2,15,64,max,adam,0.0001,2,4622,0.894495413"
"rnn,30,128,3,2,15,128,avg,adam,0.0001,2,4622,0.878648874"
"rnn,30,128,3,2,15,128,max,adam,0.0001,2,4622,0.881150959"
"rnn,30,256,3,2,15,64,avg,adam,0.0001,2,4622,0.891993328"
"rnn,30,256,3,2,15,64,max,adam,0.0001,2,4622,0.886155129"
"rnn,30,256,3,2,15,128,avg,adam,0.0001,2,4622,0.882402002"
"rnn,30,256,3,2,15,128,max,adam,0.0001,2,4622,0.894912427"
"rcnn,30,128,3,2,15,64,avg,adam,0.001,2,4622,0.887406172"
"rcnn,30,128,3,2,15,64,max,adam,0.001,2,4622,0.889491243"
"rcnn,30,128,3,2,15,128,avg,adam,0.001,2,4622,0.879482902"
"rcnn,30,128,3,2,15,128,max,adam,0.001,2,4622,0.872393661"
"rcnn,30,256,3,2,15,64,avg,adam,0.001,2,4622,0.873644704"
"rcnn,30,256,3,2,15,64,max,adam,0.001,2,4622,0.882819016"
"rcnn,30,256,3,2,15,128,avg,adam,0.001,2,4622,0.880316931"
"rcnn,30,256,3,2,15,128,max,adam,0.001,2,4622,0.885738115"
"rcnn,30,128,3,2,15,64,avg,adam,0.0001,2,4622,0.877397832"
"rcnn,30,128,3,2,15,64,max,adam,0.0001,2,4622,0.891576314"
"rcnn,30,128,3,2,15,128,avg,adam,0.0001,2,4622,0.869891576"
"rcnn,30,128,3,2,15,128,max,adam,0.0001,2,4622,0.889074229"
"rcnn,30,256,3,2,15,64,avg,adam,0.0001,2,4622,0.891993328"
"rcnn,30,256,3,2,15,64,max,adam,0.0001,2,4622,0.904503753"
"rcnn,30,256,3,2,15,128,avg,adam,0.0001,2,4622,0.889491243"
"rcnn,30,256,3,2,15,128,max,adam,0.0001,2,4622,0.897831526"
"lstm,30,128,3,2,15,64,avg,adam,0.001,2,4622,0.884487073"
"lstm,30,128,3,2,15,64,max,adam,0.001,2,4622,0.886572143"
"lstm,30,128,3,2,15,128,avg,adam,0.001,2,4622,0.882402002"
"lstm,30,128,3,2,15,128,max,adam,0.001,2,4622,0.891576314"
"lstm,30,256,3,2,15,64,avg,adam,0.001,2,4622,0.87823186"
"lstm,30,256,3,2,15,64,max,adam,0.001,2,4622,0.885321101"
"lstm,30,256,3,2,15,128,avg,adam,0.001,2,4622,0.872810676"
"lstm,30,256,3,2,15,128,max,adam,0.001,2,4622,0.881567973"
"lstm,30,128,3,2,15,64,avg,adam,0.0001,2,4622,0.895746455"
"lstm,30,128,3,2,15,64,max,adam,0.0001,2,4622,0.88323603"
"lstm,30,128,3,2,15,128,avg,adam,0.0001,2,4622,0.886572143"
"lstm,30,128,3,2,15,128,max,adam,0.0001,2,4622,0.884070058"
"lstm,30,256,3,2,15,64,avg,adam,0.0001,2,4622,0.890325271"
"lstm,30,256,3,2,15,64,max,adam,0.0001,2,4622,0.884904087"
"lstm,30,256,3,2,15,128,avg,adam,0.0001,2,4622,0.881150959"
"lstm,30,256,3,2,15,128,max,adam,0.0001,2,4622,0.88323603"
"gru,30,128,3,2,15,64,avg,adam,0.001,2,4622,0.875729775"
"gru,30,128,3,2,15,64,max,adam,0.001,2,4622,0.886155129"
"gru,30,128,3,2,15,128,avg,adam,0.001,2,4622,0.879482902"
"gru,30,128,3,2,15,128,max,adam,0.001,2,4622,0.877397832"
"gru,30,256,3,2,15,64,avg,adam,0.001,2,4622,0.871976647"
"gru,30,256,3,2,15,64,max,adam,0.001,2,4622,0.886572143"
"gru,30,256,3,2,15,128,avg,adam,0.001,2,4622,0.869057548"
"gru,30,256,3,2,15,128,max,adam,0.001,2,4622,0.887406172"
"gru,30,128,3,2,15,64,avg,adam,0.0001,2,4622,0.884070058"
"gru,30,128,3,2,15,64,max,adam,0.0001,2,4622,0.890742285"
"gru,30,128,3,2,15,128,avg,adam,0.0001,2,4622,0.889491243"
"gru,30,128,3,2,15,128,max,adam,0.0001,2,4622,0.890742285"
"gru,30,256,3,2,15,64,avg,adam,0.0001,2,4622,0.885321101"
"gru,30,256,3,2,15,64,max,adam,0.0001,2,4622,0.881150959"
"gru,30,256,3,2,15,128,avg,adam,0.0001,2,4622,0.895329441"
"gru,30,256,3,2,15,128,max,adam,0.0001,2,4622,0.890325271"
