model,lr,hidden_size,batch_size,pooling_style,epoch,acc,execution_time
rnn,0.001,128,64,avg,1,0.78607131,0.89002347
rnn,0.001,128,64,avg,2,0.833722093,0.596405506
rnn,0.001,128,64,avg,3,0.840053316,0.610368013
rnn,0.001,128,64,avg,4,0.836721093,0.608373165
rnn,0.001,128,64,avg,5,0.836721093,0.611366272
rnn,0.001,128,64,avg,6,0.839386871,0.581444979
rnn,0.001,128,64,avg,7,0.832055981,0.587429762
rnn,0.001,128,64,avg,8,0.831389537,0.574464083
rnn,0.001,128,64,avg,9,0.829390203,0.588426828
rnn,0.001,128,64,avg,10,0.824725092,0.585434914
rnn,0.001,128,64,avg,11,0.823392203,0.574463606
rnn,0.001,128,64,avg,12,0.820393202,0.580448151
rnn,0.001,128,64,avg,13,0.819393535,0.600394487
rnn,0.001,128,64,avg,14,0.81706098,0.578453302
rnn,0.001,128,64,avg,15,0.81706098,0.574463844
rnn,0.001,128,64,max,1,0.705098301,0.675153732
rnn,0.001,128,64,max,2,0.779740087,0.648266792
rnn,0.001,128,64,max,3,0.815728091,0.71010232
rnn,0.001,128,64,max,4,0.820726425,0.642282248
rnn,0.001,128,64,max,5,0.829723426,0.652256012
rnn,0.001,128,64,max,6,0.825391536,0.668214083
rnn,0.001,128,64,max,7,0.819726758,0.680182219
rnn,0.001,128,64,max,8,0.815394868,0.697135925
rnn,0.001,128,64,max,9,0.822059314,0.698133469
rnn,0.001,128,64,max,10,0.812395868,0.681179047
rnn,0.001,128,64,max,11,0.825058314,0.684170485
rnn,0.001,128,64,max,12,0.804398534,0.694144249
rnn,0.001,128,64,max,13,0.819726758,0.698133945
rnn,0.001,128,64,max,14,0.81272909,0.70212245
rnn,0.001,128,64,max,15,0.818393869,0.706112146
rnn,0.001,128,128,avg,1,0.746084638,0.381954908
rnn,0.001,128,128,avg,2,0.815728091,0.364027023
rnn,0.001,128,128,avg,3,0.839720093,0.36203146
rnn,0.001,128,128,avg,4,0.839720093,0.359040022
rnn,0.001,128,128,avg,5,0.842719094,0.363029242
rnn,0.001,128,128,avg,6,0.835388204,0.376992464
rnn,0.001,128,128,avg,7,0.830056648,0.358042955
rnn,0.001,128,128,avg,8,0.836721093,0.377989054
rnn,0.001,128,128,avg,9,0.831389537,0.36302948
rnn,0.001,128,128,avg,10,0.83338887,0.363029242
rnn,0.001,128,128,avg,11,0.831722759,0.40890646
rnn,0.001,128,128,avg,12,0.828723759,0.411898851
rnn,0.001,128,128,avg,13,0.826391203,0.366021156
rnn,0.001,128,128,avg,14,0.825391536,0.368016243
rnn,0.001,128,128,avg,15,0.829056981,0.399930477
rnn,0.001,128,128,max,1,0.746084638,0.435834885
rnn,0.001,128,128,max,2,0.784405198,0.437829733
rnn,0.001,128,128,max,3,0.798400533,0.455781937
rnn,0.001,128,128,max,4,0.809396868,0.448800087
rnn,0.001,128,128,max,5,0.816394535,0.445808411
rnn,0.001,128,128,max,6,0.809396868,0.435834885
rnn,0.001,128,128,max,7,0.826724425,0.437829733
rnn,0.001,128,128,max,8,0.816727757,0.438826799
rnn,0.001,128,128,max,9,0.824725092,0.470741272
rnn,0.001,128,128,max,10,0.819060313,0.501658678
rnn,0.001,128,128,max,11,0.826057981,0.432843208
rnn,0.001,128,128,max,12,0.818393869,0.441818714
rnn,0.001,128,128,max,13,0.822392536,0.431845188
rnn,0.001,128,128,max,14,0.832722426,0.499664068
rnn,0.001,128,128,max,15,0.825391536,0.439824104
rnn,0.001,768,64,avg,1,0.847050983,2.638944626
rnn,0.001,768,64,avg,2,0.842052649,2.685818434
rnn,0.001,768,64,avg,3,0.835721426,2.665872574
rnn,0.001,768,64,avg,4,0.83038987,2.652908325
rnn,0.001,768,64,avg,5,0.823392203,2.667866707
rnn,0.001,768,64,avg,6,0.817727424,2.675846815
rnn,0.001,768,64,avg,7,0.827057647,2.657893896
rnn,0.001,768,64,avg,8,0.813728757,2.666870356
rnn,0.001,768,64,avg,9,0.815394868,2.712746859
rnn,0.001,768,64,avg,10,0.813062313,2.6758461
rnn,0.001,768,64,avg,11,0.810063312,2.66986227
rnn,0.001,768,64,avg,12,0.806064645,2.651909351
rnn,0.001,768,64,avg,13,0.809063645,2.667867661
rnn,0.001,768,64,avg,14,0.808063979,2.818464756
rnn,0.001,768,64,avg,15,0.799733422,2.692799568
rnn,0.001,768,64,max,1,0.819060313,3.027903557
rnn,0.001,768,64,max,2,0.821726091,3.081760645
rnn,0.001,768,64,max,3,0.842385871,3.294192076
rnn,0.001,768,64,max,4,0.809063645,3.569456816
rnn,0.001,768,64,max,5,0.792735755,3.44578743
rnn,0.001,768,64,max,6,0.815728091,4.209744215
rnn,0.001,768,64,max,7,0.804065312,5.13526988
rnn,0.001,768,64,max,8,0.835054982,4.61765337
rnn,0.001,768,64,max,9,0.807397534,3.722048283
rnn,0.001,768,64,max,10,0.829723426,3.934480429
rnn,0.001,768,64,max,11,0.827057647,3.163541794
rnn,0.001,768,64,max,12,0.815728091,4.259610891
rnn,0.001,768,64,max,13,0.810729757,3.362010241
rnn,0.001,768,64,max,14,0.819726758,3.039872408
rnn,0.001,768,64,max,15,0.817727424,2.952106714
rnn,0.001,768,128,avg,1,0.826724425,1.61962676
rnn,0.001,768,128,avg,2,0.842385871,1.613685608
rnn,0.001,768,128,avg,3,0.836054648,1.609696865
rnn,0.001,768,128,avg,4,0.835721426,1.601718187
rnn,0.001,768,128,avg,5,0.830056648,1.614682913
rnn,0.001,768,128,avg,6,0.824391869,1.599723101
rnn,0.001,768,128,avg,7,0.825724758,1.591744661
