model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,class_num,vocab_size,acc
fast_text,30,128,3,1,12,64,avg,adam,0.001,2,4622,0.880733945
fast_text,30,128,3,1,12,128,avg,adam,0.001,2,4622,0.883653044
fast_text,30,128,3,1,12,64,avg,adam,0.0001,2,4622,0.811092577
fast_text,30,128,3,1,12,128,avg,adam,0.0001,2,4622,0.759799833
lstm,30,128,3,1,12,64,avg,adam,0.001,2,4622,0.884070058
lstm,30,128,3,1,12,128,avg,adam,0.001,2,4622,0.885738115
lstm,30,128,3,1,12,64,avg,adam,0.0001,2,4622,0.879482902
lstm,30,128,3,1,12,128,avg,adam,0.0001,2,4622,0.880316931
gru,30,128,3,1,12,64,avg,adam,0.001,2,4622,0.868640534
gru,30,128,3,1,12,128,avg,adam,0.001,2,4622,0.881150959
gru,30,128,3,1,12,64,avg,adam,0.0001,2,4622,0.885321101
gru,30,128,3,1,12,128,avg,adam,0.0001,2,4622,0.889074229
rnn,30,128,3,1,12,64,avg,adam,0.001,2,4622,0.881567973
rnn,30,128,3,1,12,128,avg,adam,0.001,2,4622,0.873644704
rnn,30,128,3,1,12,64,avg,adam,0.0001,2,4622,0.867389491
rnn,30,128,3,1,12,128,avg,adam,0.0001,2,4622,0.856964137
cnn,30,128,3,1,12,64,avg,adam,0.001,2,4622,0.873644704
cnn,30,128,3,1,12,128,avg,adam,0.001,2,4622,0.879899917
cnn,30,128,3,1,12,64,avg,adam,0.0001,2,4622,0.861134279
cnn,30,128,3,1,12,128,avg,adam,0.0001,2,4622,0.839866555
gated_cnn,30,128,3,1,12,64,avg,adam,0.001,2,4622,0.882819016
gated_cnn,30,128,3,1,12,128,avg,adam,0.001,2,4622,0.886989158
gated_cnn,30,128,3,1,12,64,avg,adam,0.0001,2,4622,0.872393661
gated_cnn,30,128,3,1,12,128,avg,adam,0.0001,2,4622,0.861551293
stack_gated_cnn,30,128,3,1,12,64,avg,adam,0.001,2,4622,0.871976647
stack_gated_cnn,30,128,3,1,12,128,avg,adam,0.001,2,4622,0.878648874
stack_gated_cnn,30,128,3,1,12,64,avg,adam,0.0001,2,4622,0.8882402
stack_gated_cnn,30,128,3,1,12,128,avg,adam,0.0001,2,4622,0.868640534
rcnn,30,128,3,1,12,64,avg,adam,0.001,2,4622,0.883653044
rcnn,30,128,3,1,12,128,avg,adam,0.001,2,4622,0.881150959
rcnn,30,128,3,1,12,64,avg,adam,0.0001,2,4622,0.869891576
rcnn,30,128,3,1,12,128,avg,adam,0.0001,2,4622,0.856964137
bert,30,128,3,1,12,64,avg,adam,0.001,2,4622,0.871976647
bert,30,128,3,1,12,128,avg,adam,0.001,2,4622,0.87322769
bert,30,128,3,1,12,64,avg,adam,0.0001,2,4622,0.877814846
bert,30,128,3,1,12,128,avg,adam,0.0001,2,4622,0.881567973
bert_lstm,30,128,3,1,12,64,avg,adam,0.001,2,4622,0.864887406
bert_lstm,30,128,3,1,12,128,avg,adam,0.001,2,4622,0.864887406
bert_lstm,30,128,3,1,12,64,avg,adam,0.0001,2,4622,0.873644704
bert_lstm,30,128,3,1,12,128,avg,adam,0.0001,2,4622,0.864887406
bert_cnn,30,128,3,1,12,64,avg,adam,0.001,2,4622,0.87322769
bert_cnn,30,128,3,1,12,128,avg,adam,0.001,2,4622,0.856964137
bert_cnn,30,128,3,1,12,64,avg,adam,0.0001,2,4622,0.872393661
bert_cnn,30,128,3,1,12,128,avg,adam,0.0001,2,4622,0.877814846
bert_mid_layer,30,128,3,1,12,64,avg,adam,0.001,2,4622,0.875729775
bert_mid_layer,30,128,3,1,12,128,avg,adam,0.001,2,4622,0.864887406
bert_mid_layer,30,128,3,1,12,64,avg,adam,0.0001,2,4622,0.871976647
bert_mid_layer,30,128,3,1,12,128,avg,adam,0.0001,2,4622,0.869891576
