,Model,learning rate,hidden size,batch size,pooling,accuracy
0,rnn,0.001,128,64,avg,0.8878231859883235
1,rnn,0.001,128,64,max,0.8832360300250208
2,rnn,0.001,128,128,avg,0.8928273561301084
3,rnn,0.001,128,128,max,0.8861551292743953
4,rnn,0.0001,128,64,avg,0.8678065054211843
5,rnn,0.0001,128,64,max,0.8711426188490409
6,rnn,0.0001,128,128,avg,0.8469557964970809
7,rnn,0.0001,128,128,max,0.8653044203502919
8,gated_cnn,0.001,128,64,avg,0.8874061718098415
9,gated_cnn,0.001,128,64,max,0.8899082568807339
10,gated_cnn,0.001,128,128,avg,0.8857381150959133
11,gated_cnn,0.001,128,128,max,0.8936613844870726
12,gated_cnn,0.0001,128,64,avg,0.8811509591326105
13,gated_cnn,0.0001,128,64,max,0.8978315262718932
14,gated_cnn,0.0001,128,128,avg,0.8657214345287739
15,gated_cnn,0.0001,128,128,max,0.8978315262718932
16,lstm,0.001,128,64,avg,0.8936613844870726
17,lstm,0.001,128,64,max,0.8832360300250208
18,lstm,0.001,128,128,avg,0.8949124270225187
19,lstm,0.001,128,128,max,0.8890742285237698
20,lstm,0.0001,128,64,avg,0.8978315262718932
21,lstm,0.0001,128,64,max,0.8753127606338615
22,lstm,0.0001,128,128,avg,0.8853211009174312
23,lstm,0.0001,128,128,max,0.8736447039199333
24,bert,0.001,128,64,avg,0.8615512927439533
25,bert,0.001,128,64,max,0.8648874061718098
26,bert,0.001,128,128,avg,0.8644703919933278
27,bert,0.001,128,128,max,0.8757297748123436
28,bert,0.0001,128,64,avg,0.8803169307756463
29,bert,0.0001,128,64,max,0.8882402001668057
30,bert,0.0001,128,128,avg,0.8794829024186822
31,bert,0.0001,128,128,max,0.8957464553794829
