model_path,train_data_path,valid_data_path,vocab_path,model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,pretrain_model_path,seed,class_num,vocab_size,lastAcc
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,gated_cnn,30,128,3,2,15,64,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6666666666666666
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,gated_cnn,30,128,3,2,15,128,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6027777777777777
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,gated_cnn,30,768,3,2,15,64,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.7194444444444444
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,gated_cnn,30,768,3,2,15,128,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.7055555555555556
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,gated_cnn,30,128,3,2,15,64,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.44722222222222224
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,gated_cnn,30,128,3,2,15,128,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.325
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,gated_cnn,30,768,3,2,15,64,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6916666666666667
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,gated_cnn,30,768,3,2,15,128,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6611111111111111
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,lstm,30,128,3,2,15,64,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.5472222222222223
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,lstm,30,128,3,2,15,128,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.55
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,lstm,30,768,3,2,15,64,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.675
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,lstm,30,768,3,2,15,128,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6722222222222223
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,lstm,30,128,3,2,15,64,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.3472222222222222
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,lstm,30,128,3,2,15,128,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.11666666666666667
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,lstm,30,768,3,2,15,64,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6194444444444445
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,lstm,30,768,3,2,15,128,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6194444444444445
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,cnn,30,128,3,2,15,64,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.625
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,cnn,30,128,3,2,15,128,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.5777777777777777
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,cnn,30,768,3,2,15,64,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.7
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,cnn,30,768,3,2,15,128,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6833333333333333
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,cnn,30,128,3,2,15,64,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.4111111111111111
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,cnn,30,128,3,2,15,128,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.33055555555555555
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,cnn,30,768,3,2,15,64,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6972222222222222
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,cnn,30,768,3,2,15,128,avg,adam,0.0001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.6666666666666666
output,../data/train_tag_news.json,../data/valid_tag_news.json,chars.txt,bert,30,128,3,2,15,64,avg,adam,0.001,E:\Learn\nlp\bert-base-chinese,987,18,4622,0.7666666666666667
