model,Learning_Rate,Hidden_Size,batch_size,pooling_style,最后一轮acc,最后一轮预测time
lstm,0.1,128,64,avg,0.812186978,0.180135012
lstm,0.1,128,64,max,0.680300501,0.243889093
lstm,0.1,128,128,avg,0.716193656,0.220123053
lstm,0.1,128,128,max,0.716193656,0.216055155
lstm,0.1,256,64,avg,0.708681135,0.517584085
lstm,0.1,256,64,max,0.703672788,0.544446945
lstm,0.1,256,128,avg,0.686143573,0.463342905
lstm,0.1,256,128,max,0.671118531,0.417445183
lstm,0.0001,128,64,avg,0.892320534,0.193375826
lstm,0.0001,128,64,max,0.887312187,0.201540232
lstm,0.0001,128,128,avg,0.893989983,0.238068104
lstm,0.0001,128,128,max,0.898998331,0.247155428
lstm,0.0001,256,64,avg,0.878964942,0.457005024
lstm,0.0001,256,64,max,0.884808013,0.453231812
lstm,0.0001,256,128,avg,0.883973289,0.403028965
lstm,0.0001,256,128,max,0.892320534,0.354593992
gru,0.1,128,64,avg,0.555926544,0.220044136
gru,0.1,128,64,max,0.64524207,0.227279902
gru,0.1,128,128,avg,0.723706177,0.192722797
gru,0.1,128,128,max,0.667779633,0.241538048
gru,0.1,256,64,avg,0.724540902,0.504790068
gru,0.1,256,64,max,0.61769616,0.53326416
gru,0.1,256,128,avg,0.707846411,0.345119953
gru,0.1,256,128,max,0.699499165,0.417952061
gru,0.0001,128,64,avg,0.907345576,0.152557135
gru,0.0001,128,64,max,0.888146912,0.180196047
gru,0.0001,128,128,avg,0.881469115,0.173763752
gru,0.0001,128,128,max,0.898998331,0.162407875
gru,0.0001,256,64,avg,0.893989983,0.423633099
gru,0.0001,256,64,max,0.880634391,0.302179098
gru,0.0001,256,128,avg,0.890651085,0.276302814
gru,0.0001,256,128,max,0.898163606,0.241871119
rnn,0.1,128,64,avg,0.591819699,0.080234051
rnn,0.1,128,64,max,0.678631052,0.063163042
rnn,0.1,128,128,avg,0.660267112,0.059165955
rnn,0.1,128,128,max,0.698664441,0.054171801
rnn,0.1,256,64,avg,0.737896494,0.13951993
rnn,0.1,256,64,max,0.681135225,0.129971981
rnn,0.1,256,128,avg,0.725375626,0.089412212
rnn,0.1,256,128,max,0.459933222,0.107246876
rnn,0.0001,128,64,avg,0.883973289,0.065039158
rnn,0.0001,128,64,max,0.901502504,0.065591097
